Turbine,Day,3.0,3.5,4.0,4.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,2.5,2.0,1.5
BR2-K002,2024-04-04,,,4.0,,,5.0,3.0,4.0,8.0,11.0,11.0,12.0,6.0,4.0,6.0,1.0,5.0,5.0,2.0,4.0,3.0,3.0,5.0,4.0,1.0,,,1.0,,,,,,,,,,
BR2-K002,2024-04-05,,,,,,,,,1.0,7.0,9.0,10.0,10.0,11.0,11.0,5.0,18.0,11.0,14.0,6.0,8.0,5.0,6.0,6.0,3.0,3.0,,,,,,,,,,,,
BR2-K002,2024-04-06,,,,,,4.0,5.0,6.0,15.0,15.0,7.0,6.0,5.0,6.0,5.0,4.0,11.0,8.0,13.0,16.0,7.0,5.0,5.0,1.0,,,,,,,,,,,,,,
BR2-K002,2024-04-07,1.0,1.0,2.0,15.0,8.0,7.0,5.0,2.0,5.0,7.0,2.0,5.0,4.0,6.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
BR2-K002,2024-04-08,,2.0,9.0,4.0,10.0,9.0,17.0,14.0,13.0,13.0,17.0,6.0,8.0,5.0,3.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,
BR2-K002,2024-04-09,,6.0,9.0,12.0,11.0,18.0,3.0,5.0,4.0,9.0,7.0,8.0,9.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
BR2-K002,2024-04-10,6.0,8.0,11.0,15.0,13.0,17.0,15.0,13.0,17.0,9.0,9.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
BR2-K002,2024-04-11,,,,,,,1.0,,,,4.0,,3.0,3.0,6.0,7.0,11.0,4.0,5.0,2.0,7.0,9.0,5.0,9.0,10.0,4.0,2.0,8.0,7.0,9.0,6.0,7.0,7.0,6.0,1.0,,,
BR2-K002,2024-04-12,,,,1.0,,3.0,2.0,2.0,,2.0,3.0,1.0,2.0,4.0,1.0,1.0,5.0,2.0,4.0,3.0,5.0,7.0,4.0,5.0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,1.0,,,
BR2-K002,2024-04-13,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,4.0,7.0,14.0,11.0,8.0,14.0,12.0,17.0,18.0,9.0,6.0,6.0,2.0,2.0,1.0,3.0,,,,
BR2-K002,2024-04-14,,,,,,,1.0,,,3.0,1.0,8.0,3.0,1.0,1.0,9.0,6.0,11.0,9.0,10.0,3.0,2.0,,,,,,,,,,,,,,,,
