,Raw - Percent Missing,Raw - Count Missing,gradient_filtered_data - Percent Removed,gradient_filtered_data - Count Removed,range_filtered_data - Percent Removed,range_filtered_data - Count Removed,online_filtered_data_map - Percent Removed,online_filtered_data_map - Count Removed,Full Clean - Percent Missing,Full Clean - Count Missing
GNT-A007-KW,0.0,0,0.0,0,3.6342592592592595,157,2.7546296296296298,119,6.388888888888888,276
GNT-A008-KW,0.0,0,0.0,0,3.981481481481482,172,34.18981481481482,1477,38.1712962962963,1649
GNT-A009-KW,0.0,0,0.0,0,3.2870370370370368,142,51.75925925925926,2236,55.04629629629629,2378
GNT-A010-KW,0.0,0,0.0,0,2.7546296296296298,119,2.2916666666666665,99,5.046296296296297,218
GNT-B001-KW,0.0,0,0.0,0,4.12037037037037,178,13.333333333333334,576,17.453703703703706,754
GNT-B002-KW,0.0,0,0.0,0,3.009259259259259,130,23.65740740740741,1022,26.666666666666668,1152
GNT-B003-KW,1.0416666666666665,45,0.0,0,2.9629629629629632,128,6.712962962962964,290,10.717592592592592,463
GNT-B004-KW,0.0,0,0.0,0,2.5925925925925926,112,2.1296296296296298,92,4.722222222222222,204
GNT-B005-KW,0.0,0,0.0,0,3.0324074074074074,131,2.2685185185185186,98,5.300925925925926,229
GNT-B006-KW,0.0,0,0.0,0,2.569444444444444,111,6.157407407407407,266,8.726851851851853,377
GNT-B007-KW,0.0,0,0.0,0,2.569444444444444,111,2.4074074074074074,104,4.976851851851852,215
GNT-C001-KW,0.11574074074074073,5,0.0,0,4.837962962962963,209,2.5925925925925926,112,7.546296296296297,326
GNT-C002-KW,0.0,0,0.0,0,2.986111111111111,129,2.638888888888889,114,5.625,243
GNT-C003-KW,0.0,0,0.0,0,2.7546296296296298,119,2.4074074074074074,104,5.162037037037037,223
GNT-C004-KW,0.0,0,0.0,0,2.337962962962963,101,29.35185185185185,1268,31.689814814814817,1369
GNT-C005-KW,0.0,0,0.0,0,2.5925925925925926,112,2.4537037037037037,106,5.046296296296297,218
GNT-C006-KW,0.0,0,0.0,0,2.662037037037037,115,2.7314814814814814,118,5.393518518518518,233
GNT-C007-KW,0.0,0,0.0,0,2.476851851851852,107,2.384259259259259,103,4.861111111111112,210
GNT-C008-KW,0.0,0,0.0,0,3.194444444444444,138,3.0787037037037037,133,6.273148148148149,271
GNT-C009-KW,0.0,0,0.0,0,3.4027777777777777,147,2.7546296296296298,119,6.157407407407407,266
GNT-C010-KW,0.0,0,0.0,0,7.87037037037037,340,24.166666666666668,1044,32.03703703703704,1384
GNT-C012-KW,0.0,0,0.0,0,2.7314814814814814,118,2.175925925925926,94,4.907407407407407,212
GNT-C013-KW,0.0,0,0.0,0,96.3425925925926,4162,0.9490740740740741,41,97.29166666666667,4203
GNT-C014-KW,0.0,0,0.0,0,2.8472222222222223,123,2.2453703703703707,97,5.092592592592593,220
GNT-C015-KW,0.0,0,0.0,0,4.166666666666666,180,2.5,108,6.666666666666667,288
GNT-C016-KW,0.0,0,0.0,0,3.3796296296296298,146,2.476851851851852,107,5.856481481481481,253
GNT-C017-KW,0.0,0,0.0,0,3.5185185185185186,152,2.2916666666666665,99,5.810185185185185,251
GNT-C018-KW,0.0,0,0.0,0,11.296296296296296,488,2.2222222222222223,96,13.518518518518519,584
GNT-C019-KW,0.0,0,0.0,0,2.824074074074074,122,2.314814814814815,100,5.138888888888888,222
GNT-C020-KW,0.0,0,0.0,0,2.9629629629629632,128,2.314814814814815,100,5.277777777777778,228
GNT-C021-KW,0.0,0,0.0,0,2.7546296296296298,119,2.361111111111111,102,5.1157407407407405,221
GNT-C022-KW,0.0,0,0.0,0,13.356481481481481,577,2.9629629629629632,128,16.319444444444446,705
GNT-D002-KW,0.0,0,0.0,0,3.0555555555555554,132,2.7083333333333335,117,5.763888888888889,249
GNT-D003-KW,0.0,0,0.0,0,2.7314814814814814,118,2.1296296296296298,92,4.861111111111112,210
GNT-D004-KW,0.0,0,0.0,0,2.7546296296296298,119,2.476851851851852,107,5.231481481481481,226
GNT-E001-KW,0.25462962962962965,11,0.0,0,7.060185185185184,305,18.49537037037037,799,25.810185185185187,1115
GNT-E002-KW,0.0,0,0.0,0,2.5925925925925926,112,2.476851851851852,107,5.069444444444445,219
GNT-E003-KW,0.0,0,0.0,0,2.6157407407407405,113,2.384259259259259,103,5.0,216
GNT-E004-KW,0.0,0,0.0,0,2.8935185185185186,125,2.384259259259259,103,5.277777777777778,228
GNT-E005-KW,0.0,0,0.0,0,2.824074074074074,122,2.430555555555556,105,5.25462962962963,227
GNT-E006-KW,0.0,0,0.0,0,2.8935185185185186,125,2.2453703703703707,97,5.138888888888888,222
GNT-E007-KW,0.0,0,0.0,0,4.143518518518519,179,2.6157407407407405,113,6.7592592592592595,292
GNT-E008-KW,0.0,0,0.5092592592592593,22,2.5925925925925926,112,8.101851851851851,350,11.203703703703702,484
GNT-E009-KW,0.0,0,0.0,0,2.939814814814815,127,2.7546296296296298,119,5.694444444444445,246
GNT-E010-KW,0.0,0,0.0,0,3.148148148148148,136,14.467592592592593,625,17.61574074074074,761
GNT-E011-KW,0.0,0,0.0,0,4.884259259259259,211,2.4074074074074074,104,7.291666666666667,315
GNT-E012-KW,0.0,0,0.0,0,2.986111111111111,129,2.5231481481481484,109,5.5092592592592595,238
GNT-E013-KW,0.0,0,0.0,0,3.3333333333333335,144,2.430555555555556,105,5.763888888888889,249
GNT-E014-KW,0.0,0,0.0,0,5.810185185185185,251,7.962962962962964,344,13.773148148148149,595
GNT-E015-KW,0.1388888888888889,6,0.0,0,6.157407407407407,266,4.12037037037037,178,10.416666666666668,450
GNT-E016-KW,0.0462962962962963,2,0.0,0,5.717592592592593,247,1.6666666666666667,72,7.430555555555555,321
GNT-E017-KW,0.0,0,0.0,0,2.5231481481481484,109,2.5462962962962963,110,5.069444444444445,219
GNT-E018-KW,0.0,0,0.0,0,4.050925925925926,175,2.4537037037037037,106,6.50462962962963,281
GNT-E019-KW,0.0,0,0.0,0,2.7083333333333335,117,2.7777777777777777,120,5.486111111111111,237
GNT-E020-KW,0.0,0,0.0,0,3.0787037037037037,133,13.333333333333334,576,16.412037037037035,709
GNT-E021-KW,0.0,0,0.0,0,2.7777777777777777,120,2.5462962962962963,110,5.324074074074074,230
GNT-E022-KW,0.0,0,0.0,0,2.9629629629629632,128,2.2453703703703707,97,5.208333333333334,225
GNT-F001-KW,0.0,0,0.0,0,2.8009259259259256,121,2.685185185185185,116,5.486111111111111,237
GNT-F002-KW,0.0,0,0.0,0,2.8009259259259256,121,2.7777777777777777,120,5.578703703703704,241
GNT-F003-KW,0.0,0,0.0,0,2.986111111111111,129,2.638888888888889,114,5.625,243
GNT-F004-KW,0.0,0,0.0,0,2.8009259259259256,121,2.685185185185185,116,5.486111111111111,237
GNT-F005-KW,0.0,0,0.0,0,5.092592592592593,220,2.569444444444444,111,7.662037037037036,331
GNT-A003-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A004-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A005-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A006-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A007-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A008-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A009-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-A010-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-B001-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-B002-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-B003-MAIN-BRG-TE-T-C,1.0416666666666665,45,98.95833333333334,4275,0.0,0,0.0,0,100.0,4320
GNT-B004-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-B005-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-B006-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-B007-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C001-MAIN-BRG-TE-T-C,0.11574074074074073,5,99.44444444444444,4296,0.0,0,0.1851851851851852,8,99.74537037037037,4309
GNT-C002-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C003-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C004-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C005-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C006-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C007-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C008-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C009-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C010-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
GNT-C012-MAIN-BRG-TE-T-C,0.0,0,100.0,4320,0.0,0,0.0,0,100.0,4320
